abbrev,desc
d/cm²,dina por centímetro cúbico
d/d,dias de data (comercialmente)
d/v,dias de vista (comercialmente)
Da.,dona
dactilog.,dactilografia
dactilogr.,dactilografia
dactilos.,dactiloscopia
dactilosc.,dactiloscopia
dad.,dadaísmo
dag,decagrama(s)
dal,decalitro(s)
dam,decâmetro(s)
dam²,decâmetro(s) quadrado(s)
dasim.,dasimetria
dason,dasonomia
dast,decastéreo(s)
dat.,dativo
DD.,Digníssimo
DD.,distritos
DDT,diclorodifeniltricloretana (inseticida)
Dec.,"decoctio, decocção"
dec.,decoração
dec.,decreto
decl.,declinação
